scenario_id,sample_idx,seed_idx,seed,tte_h,min_headroom_margin,status
S3_gaming,469,0,1011690000,2.1152952414323725,0.8889925282927531,cutoff
S3_gaming,469,1,1011690001,2.120872086024007,0.8881276501361136,cutoff
S3_gaming,469,2,1011690002,2.116286775236783,0.8907752722407595,cutoff
S3_gaming,469,3,1011690003,2.11436505916388,0.8850845241643908,cutoff
S3_gaming,469,4,1011690004,2.1195733010254654,0.8882594816948188,cutoff
S3_gaming,469,5,1011690005,2.119843372335907,0.8903394496300874,cutoff
S3_gaming,469,6,1011690006,2.1163132309621724,0.8853486306933862,cutoff
S3_gaming,469,7,1011690007,2.115262759925255,0.8906930796869917,cutoff
S3_gaming,470,0,1011700000,3.169340028365964,0.8589690548415956,cutoff
S3_gaming,470,1,1011700001,3.1625415979906406,0.8566703879083444,cutoff
S3_gaming,470,2,1011700002,3.167379064186435,0.8598456166318456,cutoff
S3_gaming,470,3,1011700003,3.1697723220151066,0.8568138165293231,cutoff
S3_gaming,470,4,1011700004,3.165888188074181,0.8563666415234218,cutoff
S3_gaming,470,5,1011700005,3.1683718656767663,0.8561737199643347,cutoff
S3_gaming,470,6,1011700006,3.1654249264003473,0.8577444549860077,cutoff
S3_gaming,470,7,1011700007,3.170326660498343,0.8572444296210916,cutoff
S3_gaming,471,0,1011710000,3.5412523579496145,0.9265568349185009,cutoff
S3_gaming,471,1,1011710001,3.5389969056396247,0.92639156627399,cutoff
S3_gaming,471,2,1011710002,3.538414963599147,0.9265798280450797,cutoff
S3_gaming,471,3,1011710003,3.53646661150617,0.923369827018963,cutoff
S3_gaming,471,4,1011710004,3.539816494211756,0.9212755627875688,cutoff
S3_gaming,471,5,1011710005,3.5398771680289367,0.9264460981762312,cutoff
S3_gaming,471,6,1011710006,3.5360961168434843,0.9266070657377898,cutoff
S3_gaming,471,7,1011710007,3.537121622047859,0.9210613767989718,cutoff
S3_gaming,472,0,1011720000,3.359244213296204,0.9086538585778505,cutoff
S3_gaming,472,1,1011720001,3.358976100644104,0.9086332588918058,cutoff
S3_gaming,472,2,1011720002,3.3582322523774017,0.9088324902324412,cutoff
S3_gaming,472,3,1011720003,3.358979217480451,0.9086453251592514,cutoff
S3_gaming,472,4,1011720004,3.3595995275213033,0.9087009549988608,cutoff
