scenario_id,scenario_title_zh,seed,tte_h,tte_mean_h,delta_tte_pct,status,min_headroom_margin
S2_navigation,导航（GPS + 地图数据）,7010056,5.8805555555555555,5.907127114373946,-0.44982202522327946,cutoff,0.922408433783435
S2_navigation,导航（GPS + 地图数据）,7010057,5.961688520282173,5.907127114373946,0.9236538312416209,cutoff,0.925310460103297
S2_navigation,导航（GPS + 地图数据）,7010058,5.882591853263207,5.907127114373946,-0.41535014628407696,cutoff,0.923298537590596
S2_navigation,导航（GPS + 地图数据）,7010059,5.908333333333333,5.907127114373946,0.020419722413831397,cutoff,0.9250779269636048
S2_navigation,导航（GPS + 地图数据）,7010060,5.863888888888889,5.907127114373946,-0.7319670738055459,cutoff,0.922873829512057
S2_navigation,导航（GPS + 地图数据）,7010061,5.911111111111111,5.907127114373946,0.06744389717755,cutoff,0.9247621612978155
S2_navigation,导航（GPS + 地图数据）,7010062,5.894444444444445,5.907127114373946,-0.21470115140471652,cutoff,0.9253159906394722
S2_navigation,导航（GPS + 地图数据）,7010063,5.907706893437554,5.907127114373946,0.009814907524126395,cutoff,0.9255743599855927
S2_navigation,导航（GPS + 地图数据）,7010064,5.875,5.907127114373946,-0.5438703747507017,cutoff,0.9243460513738455
S2_navigation,导航（GPS + 地图数据）,7010065,5.894444444444445,5.907127114373946,-0.21470115140471652,cutoff,0.924549896876119
S2_navigation,导航（GPS + 地图数据）,7010066,5.891036893858902,5.907127114373946,-0.2723865629349844,cutoff,0.9255713213403882
S2_navigation,导航（GPS + 地图数据）,7010067,5.911819862965169,5.907127114373946,0.0794421467553014,cutoff,0.9245102018344763
S2_navigation,导航（GPS + 地图数据）,7010068,5.95,5.907127114373946,0.7257823438695052,cutoff,0.9238850933300604
S2_navigation,导航（GPS + 地图数据）,7010069,5.897222222222222,5.907127114373946,-0.16767697664101294,cutoff,0.9216154877952549
S2_navigation,导航（GPS + 地图数据）,7010070,5.9,5.907127114373946,-0.12065280187729434,cutoff,0.9251574541038678
S2_navigation,导航（GPS + 地图数据）,7010071,5.875723277291134,5.907127114373946,-0.5316262283639768,cutoff,0.9254981322692458
S2_navigation,导航（GPS + 地图数据）,7010072,5.919444444444444,5.907127114373946,0.20851642146867574,cutoff,0.9226050175667021
S2_navigation,导航（GPS + 地图数据）,7010073,5.902777777777778,5.907127114373946,-0.07362862711359078,cutoff,0.9237652602194821
S2_navigation,导航（GPS + 地图数据）,7010074,5.877777777777778,5.907127114373946,-0.49684619998698304,cutoff,0.9216069128993958
S2_navigation,导航（GPS + 地图数据）,7010075,5.932346150040495,5.907127114373946,0.42692556260017933,cutoff,0.9254318814355804
S2_navigation,导航（GPS + 地图数据）,7010076,5.8694444444444445,5.907127114373946,-0.6379187242781238,cutoff,0.9251710024829887
S2_navigation,导航（GPS + 地图数据）,7010077,5.86041511382389,5.907127114373946,-0.7907735798742327,cutoff,0.9254950429741814
S2_navigation,导航（GPS + 地图数据）,7010078,5.871650503330184,5.907127114373946,-0.6005730087885917,cutoff,0.9229376025756303
S2_navigation,导航（GPS + 地图数据）,7010079,5.908411213001356,5.907127114373946,0.021738124176906157,cutoff,0.9254292408426089
S2_navigation,导航（GPS + 地图数据）,7010080,5.905555555555556,5.907127114373946,-0.02660445234987217,cutoff,0.9253093577389611
S2_navigation,导航（GPS + 地图数据）,7010081,5.945874319396754,5.907127114373946,0.6559399226152409,cutoff,0.9237732231880561
S2_navigation,导航（GPS + 地图数据）,7010082,5.927777777777778,5.907127114373946,0.3495889457598165,cutoff,0.9237266373605939
S2_navigation,导航（GPS + 地图数据）,7010083,5.932843404660829,5.907127114373946,0.4353434383409062,cutoff,0.9167974832984176
S2_navigation,导航（GPS + 地图数据）,7010084,5.911111111111111,5.907127114373946,0.06744389717755,cutoff,0.9249322748639814
S2_navigation,导航（GPS + 地图数据）,7010085,5.8906226794362615,5.907127114373946,-0.27939867583895006,cutoff,0.9207538342705582
S2_navigation,导航（GPS + 地图数据）,7010086,5.936111111111111,5.907127114373946,0.49066147005094224,cutoff,0.9250451831957677
S2_navigation,导航（GPS + 地图数据）,7010087,5.911111111111111,5.907127114373946,0.06744389717755,cutoff,0.9252019464204494
S2_navigation,导航（GPS + 地图数据）,7010088,5.918569333935675,5.907127114373946,0.19370193564798707,cutoff,0.9255461875895186
S2_navigation,导航（GPS + 地图数据）,7010089,5.856694716147003,5.907127114373946,-0.8537550868716621,cutoff,0.9232709740422568
S2_navigation,导航（GPS + 地图数据）,7010090,5.905555555555556,5.907127114373946,-0.02660445234987217,cutoff,0.9245201019827847
S2_navigation,导航（GPS + 地图数据）,7010091,5.8868836844973815,5.907127114373946,-0.34269501035969857,cutoff,0.9246355947621098
S2_navigation,导航（GPS + 地图数据）,7010092,5.876237291725001,5.907127114373946,-0.5229246307190476,cutoff,0.9240762785801345
S2_navigation,导航（GPS + 地图数据）,7010093,5.891666666666667,5.907127114373946,-0.26172532616843514,cutoff,0.9221629254107148
S2_navigation,导航（GPS + 地图数据）,7010094,5.915784798036311,5.907127114373946,0.1465633546516777,cutoff,0.9240221873060407
S2_navigation,导航（GPS + 地图数据）,7010095,5.9,5.907127114373946,-0.12065280187729434,cutoff,0.9242543392414745
S2_navigation,导航（GPS + 地图数据）,7010096,5.925,5.907127114373946,0.3025647709960979,cutoff,0.9232708799316061
