phone_test_id,duration_s_est,P_total_W,avg_temp_C,delta_temp_C
156,35.10982866892298,2.573964995733265,40.87871428571428,1.471
157,29.708948266023864,4.483283144436474,43.48471428571428,2.886
158,29.98312101754455,2.8486486096634747,43.89933333333334,0.756
159,24.715661754269554,2.862493171471665,44.0628,0.779
16,30.280545018009494,2.8634579380401037,44.8962,1.612
160,33.86546172493287,2.4347065358124373,43.780833333333334,0.344
161,34.7776674580934,2.8028849007041483,44.306285714285714,1.834
163,29.135694953981748,3.7424171337673426,45.620875,3.187
164,32.37998396270153,3.215187324364384,45.36,1.585
166,29.884678630347317,2.661210113172822,42.34325,2.428
167,31.14274180313131,3.806238954467441,45.53328571428572,3.007
169,29.874197143112358,2.4953260716225443,44.73663636363636,1.256
17,30.23701604374167,3.0465181771488363,46.05142857142857,0.74
172,31.085881320465155,3.3563489779944504,44.1436,3.312
174,31.169877604962355,2.8014187641884853,43.874,1.993
175,29.876185385455376,2.6106820530699806,44.53228571428572,0.783
176,33.86667640758215,2.4544936444188443,45.20033333333333,1.357
177,30.22202477731723,2.8037145301924316,45.121,1.345
179,29.807576369513292,2.0560785365523064,44.4702,0.619
18,30.81924419288989,2.1874075359561447,46.344666666666654,0.191
180,31.277517610381356,2.38570269320968,43.81936363636364,0.504
181,30.03546459693477,3.7846771316998673,45.38711111111111,4.421
185,24.835188327420177,2.743516018550675,44.02125,1.489
187,31.718105724504078,3.070805862304467,43.74788888888889,3.287
188,31.34473040634785,3.53418924214341,45.19066666666666,2.163
19,30.0295094774004,2.196149758944018,45.860285714285716,0.453
190,29.98339882227825,2.6932847232782136,45.22063636363636,1.347
192,29.896967846377102,2.805103127211029,45.1825,1.685
194,34.03656540594337,2.097359476451011,44.525,0.825
195,34.2680773662922,2.1232007918707585,44.99133333333334,0.421
196,31.930321142436064,2.134511760654349,45.073142857142855,0.236
198,30.017113802905616,2.5959881256957176,44.728142857142856,1.854
2,29.72634187882264,4.854109314499851,41.04528571428572,2.889
200,32.83439952861079,3.0657349439963686,44.319,2.762
203,29.441263646192986,2.729630289167012,44.28628571428572,2.049
205,29.633331095160347,3.3658680045015132,45.0855,2.826
206,34.348067358280296,2.2284345783300057,45.215,0.43
208,33.47709563698249,1.733988444800235,43.913428571428575,0.115
21,32.13623568727196,2.2616627444261157,45.42942857142857,1.181
210,31.79312429298677,3.3974285762103267,44.310857142857145,2.899
212,32.046368821079525,2.0689780914081886,44.551,0.367
214,29.69079968920615,4.38407945769548,45.9114,2.955
217,34.732447459543316,1.9266612892151158,43.835142857142856,1.008
218,33.60471389202591,2.4201443065789183,44.5268,1.588
219,30.007292468092956,2.053271019553457,44.58655555555556,0.298
22,31.36240151420889,2.216206624626949,45.506,0.215
220,33.60184144150062,3.1521517409811874,45.21455555555556,2.624
223,29.65921594783669,2.433515138328006,43.909875,1.969
224,30.19938770014385,2.5602442926229165,44.6872,0.902
225,33.57588389704452,3.1429250626307073,45.15025,1.594
228,31.841025883707136,2.4420881815805,44.434714285714286,1.905
23,30.06343051677057,2.757105146525503,45.812166666666656,1.571
230,30.882124205148724,2.499000181701663,44.598625,1.267
231,29.870437536990586,1.7871722479421819,44.43671428571428,0.069
232,30.946671828231036,1.3748023773331224,29.31225,0.356
233,24.641502814342264,6.951172998276081,36.5135,1.959
234,31.83304275481659,6.12417966141494,41.49488888888889,4.223
235,31.673695739166295,3.3596546129732117,41.909,0.367
236,31.504849748371566,3.866825900551926,42.21857142857143,2.428
237,30.403521755117215,4.5167510891032485,44.788599999999995,2.644
238,33.312005810754314,3.191055399182309,45.48666666666666,1.805
239,29.76607385064341,4.488307046147847,46.111333333333334,2.76
242,31.1110510870995,4.088267273385073,45.266571428571424,4.124
243,32.701433608003335,2.6148212957572814,46.09571428571428,0.382
244,33.85229187437681,2.086752420253981,45.57071428571428,0.429
246,30.161031659890714,3.1675868079489353,45.20125,1.714
248,29.972994410158627,2.179479938042476,45.14528571428572,1.003
250,30.730098874415734,1.880353956430237,44.950666666666656,0.252
251,31.10026961493724,2.1763245411702705,45.05075,0.747
253,29.946751987440408,2.352203672356278,44.73542857142857,0.78
255,33.81297437399203,3.796131555310014,45.665571428571425,3.51
256,30.112132021182738,2.7586747076415485,46.44385714285715,0.835
258,29.570876284366545,2.1527882159398675,45.63542857142857,1.241
260,34.7180441250231,1.9859292980823735,44.585375,1.077
261,29.988324403395684,2.3571025526186458,45.0197,0.468
262,29.936866599073618,1.666470331318635,44.680555555555564,0.435
263,29.997596936642,2.2828756631619003,44.926300000000005,0.857
265,30.980917147163677,2.6178778250735277,45.1608,0.072
266,29.969052880670475,2.269226367305824,45.6335,0.764
269,29.7419837327038,4.120525722204707,45.33828571428572,4.713
27,29.78486684059824,2.4381964636153253,44.210142857142856,2.073
271,30.07394247863818,2.545626601978747,45.23833333333334,1.267
272,33.03027455953246,2.1236466222396695,45.86385714285714,0.907
273,32.75281131470062,2.2830407527929633,45.65233333333334,0.167
275,27.030019395881876,1.983398206816229,44.025800000000004,0.091
277,27.253517528006586,1.8426920102475757,43.5264,0.481
278,24.731516970607082,3.0215998917014932,44.7622,1.295
279,29.778851405619278,2.40851623264643,44.80014285714285,0.482
282,29.379131309058156,3.184001494664984,44.791714285714285,2.912
285,27.521156508606005,2.501779784525758,43.59111111111111,1.786
286,31.00038273269477,3.398546944031284,44.6799,3.097
288,34.51018609448295,2.2030201979164112,45.0085,0.792
289,33.29813634196217,2.3485388550544855,45.3624,0.855
29,31.215093663861847,2.5898252899875644,44.66422222222222,2.196
291,35.10984741272841,2.611070248250786,44.4395,1.168
292,32.57772625212441,2.449411183040942,45.3065,0.358
293,31.903776776568908,1.99719439006345,45.04428571428572,0.445
295,30.05739403994702,1.8966328526097493,44.754285714285714,0.321
296,34.40311453194935,3.1656809705080207,45.032,1.669
297,29.83701100107691,2.2356285285276205,45.819428571428574,0.501
298,32.516262061138306,1.8719573881386398,45.240875,0.167
299,32.128122810137235,2.2614261165945053,45.162625,0.8
3,32.18314948591369,2.5774247183702887,40.658625,0.069
30,29.959350140787453,3.2120397988536165,45.631181818181815,1.92
300,29.570231414785987,2.307823771912605,45.61772727272727,0.429
302,34.27295737896425,2.329862670357429,45.42845454545454,1.137
304,29.917937362107125,2.766970931119352,44.93025,1.959
306,34.509662321821104,2.47877974586585,45.59144444444445,0.382
309,31.021616497474437,3.5794184035844823,45.0758,3.293
31,30.09543867320982,2.8894005481770084,46.6192,1.121
311,31.30832277721464,2.533359597842255,45.222,0.638
312,29.79260136692903,1.8841322484282985,45.41111111111111,0.358
