scenario_code,scenario_id,scenario_label_zh,dt_s,soc0,replicates,eps,param_id,param_symbol,tte_base_h,tte_minus_h,tte_plus_h,delta_minus_pct,delta_plus_pct,score_absmax_pct,soh0,alpha_r0,eta0,hA0
S3,S1_video,视频/直播,10.0,1.0,30,0.05,rrc_data_scale,"b_{q,m}",4.1895654627732695,4.284634960583961,4.0984394386898,2.2691970958668564,-2.1750710161513718,2.2691970958668564,0.9,1.5,0.93,0.4
S3,S1_video,视频/直播,10.0,1.0,30,0.05,rrc_tail_scale,τ_m,4.1895654627732695,4.1895654627732695,4.1895654627732695,0.0,0.0,0.0,0.9,1.5,0.93,0.4
S4,S3_gaming,游戏,10.0,1.0,30,0.05,eta_pmic,η0,3.1948053374479377,3.028878868574838,3.3615378071224167,-5.193633143409121,5.218861622651087,5.218861622651087,0.9,1.5,0.93,0.4
S4,S3_gaming,游戏,10.0,1.0,30,0.05,soh,SOH,3.1948053374479377,3.028262485910993,3.362723528999839,-5.212926421050174,5.2559756797588495,5.2559756797588495,0.9,1.5,0.93,0.4
S4,S3_gaming,游戏,10.0,1.0,30,0.05,alpha_r,α_R,3.1948053374479377,3.1956213428264295,3.193906489130455,0.025541630625408943,-0.02813468185203373,0.02813468185203373,0.9,1.5,0.93,0.4
S4,S3_gaming,游戏,10.0,1.0,30,0.05,hA,hA,3.1948053374479377,3.1959945139660237,3.1936472013359216,0.03722219016436119,-0.03625060026164952,0.03722219016436119,0.9,1.5,0.93,0.4
S4,S3_gaming,游戏,10.0,1.0,30,0.05,screen_scale,k_b,3.1948053374479377,3.2097143353849336,3.1806167932839124,0.46666373572874387,-0.444112947906845,0.46666373572874387,0.9,1.5,0.93,0.4
S4,S3_gaming,游戏,10.0,1.0,30,0.05,cpu_scale,k_cpu,3.1948053374479377,3.3011068631298905,3.095412146600346,3.3273240292902546,-3.1110875420969615,3.3273240292902546,0.9,1.5,0.93,0.4
S4,S3_gaming,游戏,10.0,1.0,30,0.05,gpu_scale,k_gpu,3.1948053374479377,3.2159482136484745,3.174579717986122,0.6617891848592584,-0.6330783044819911,0.6617891848592584,0.9,1.5,0.93,0.4
S4,S3_gaming,游戏,10.0,1.0,30,0.05,rrc_data_scale,"b_{q,m}",3.1948053374479377,3.1948082703445295,3.1948024046040073,9.180204369367573e-05,-9.1800395348152e-05,9.180204369367573e-05,0.9,1.5,0.93,0.4
S4,S3_gaming,游戏,10.0,1.0,30,0.05,rrc_tail_scale,τ_m,3.1948053374479377,3.1948053374479377,3.1948053374479377,0.0,0.0,0.0,0.9,1.5,0.93,0.4
S5,S2_navigation,导航/通话,10.0,1.0,30,0.05,eta_pmic,η0,4.913948863083269,4.65978610767362,5.1659716614209295,-5.172271069385416,5.128722446239049,5.172271069385416,0.9,1.5,0.93,0.4
S5,S2_navigation,导航/通话,10.0,1.0,30,0.05,soh,SOH,4.913948863083269,4.6592478199649765,5.1663289392950045,-5.183225349204794,5.135993133908575,5.183225349204794,0.9,1.5,0.93,0.4
S5,S2_navigation,导航/通话,10.0,1.0,30,0.05,alpha_r,α_R,4.913948863083269,4.9144278349185715,4.913122327012902,0.009747188028360535,-0.016820200889291162,0.016820200889291162,0.9,1.5,0.93,0.4
S5,S2_navigation,导航/通话,10.0,1.0,30,0.05,hA,hA,4.913948863083269,4.914421132795916,4.913151922055263,0.009610798276618742,-0.016217934907567174,0.016217934907567174,0.9,1.5,0.93,0.4
S5,S2_navigation,导航/通话,10.0,1.0,30,0.05,screen_scale,k_b,4.913948863083269,4.968348174504246,4.8568651101172815,1.107038614700685,-1.1616676232599301,1.1616676232599301,0.9,1.5,0.93,0.4
S5,S2_navigation,导航/通话,10.0,1.0,30,0.05,cpu_scale,k_cpu,4.913948863083269,4.989088298594509,4.83886556372663,1.5291049541792172,-1.5279625704026571,1.5291049541792172,0.9,1.5,0.93,0.4
S5,S2_navigation,导航/通话,10.0,1.0,30,0.05,gpu_scale,k_gpu,4.913948863083269,4.920766523947319,4.900987061102578,0.13874098111334027,-0.26377567902809834,0.26377567902809834,0.9,1.5,0.93,0.4
S5,S2_navigation,导航/通话,10.0,1.0,30,0.05,rrc_data_scale,"b_{q,m}",4.913948863083269,4.915949148907203,4.90818440307408,0.040706280827655865,-0.11730809924570806,0.11730809924570806,0.9,1.5,0.93,0.4
S5,S2_navigation,导航/通话,10.0,1.0,30,0.05,rrc_tail_scale,τ_m,4.913948863083269,4.913948863083269,4.766017842653147,0.0,-3.0104306038159017,3.0104306038159017,0.9,1.5,0.93,0.4
