phone_test_id,duration_s_est,throughput_MBps,radio_mode,obs_radio_w,wlan_w,cell_w
24,32.43707813737697,0.0267361010855255,wifi,0.20725285336665097,0.19998276796228148,0.007270085404369489
240,32.051978135569534,0.1600204199037609,wifi,0.2326059683016002,0.22615435985602042,0.00645160844557981
241,24.809573256120864,0.3062858003059471,wifi,0.24714689055091912,0.2420714433882045,0.0050754471627146355
242,31.1110510870995,0.1027978447608973,wifi,0.22626167600344932,0.2193557450533082,0.006905930950141109
243,32.701433608003335,0.20304330016819128,wifi,0.237799606131118,0.23253793171657366,0.005261674414544349
244,33.85229187437681,0.26179420976539564,wifi,0.2536133435370895,0.24825280612823628,0.005360537408853207
245,31.994770352859437,0.3667254013889608,wifi,0.27608508759953615,0.2712253748898338,0.004859712709702357
246,30.161031659890714,0.10581574383757548,wifi,0.22004485168609725,0.21507820109618844,0.004966650589908794
247,32.13516794120561,0.12846035245724396,wifi,0.2292690544027328,0.22392940385785237,0.005339650544880435
248,29.972994410158627,0.15580031598101798,wifi,0.23155450372216152,0.22488328655056825,0.006671217171593278
249,31.061603074730634,0.13533190768958578,wifi,0.2268719138451864,0.22107485225302956,0.005797061592156862
25,24.937750638654347,0.028476024573735124,wifi,0.21686822761947386,0.207249890665871,0.009618336953602865
250,30.730098874415734,0.192336218121341,wifi,0.23738981525883557,0.23209423927889208,0.00529557597994349
251,31.10026961493724,0.16761562084645995,wifi,0.22758455232850192,0.22233761405447777,0.0052469382740241415
252,29.948827963702296,0.12175037381827626,wifi,0.22445417172536514,0.2192663218226213,0.0051878499027438645
253,29.946751987440408,0.09442980665101844,wifi,0.2053426916603166,0.20037325706544742,0.0049694345948691895
254,28.486528055554338,0.20350840891154673,wifi,0.23687732196896802,0.232433075926269,0.004444246042699023
255,33.81297437399203,0.13121052146812967,wifi,0.21602939821138997,0.21120227620602106,0.004827122005368933
256,30.112132021182738,0.19375270392331528,wifi,0.23297486051674846,0.22806635327505487,0.004908507241693596
257,29.920391878960242,0.08081809254979688,wifi,0.20852882743555406,0.20208466291429528,0.006444164521258788
258,29.570876284366545,0.17102513132739708,wifi,0.22203233708061465,0.2172788018981582,0.004753535182456444
259,24.52038244336532,0.07957445217286777,wifi,0.1968010630771883,0.1922978246830848,0.004503238394103523
26,28.264534787430236,0.058078790694621185,wifi,0.20911322896969695,0.20178960367365967,0.0073236252960372965
260,34.7180441250231,0.06293666751881134,wifi,0.20816180849353164,0.20312693754519096,0.005034870948340673
261,29.988324403395684,0.43023504169306165,wifi,0.26554133226760285,0.2601404065586224,0.005400925708980419
262,29.936866599073618,0.19232523821241088,wifi,0.22902634091709276,0.224451323170425,0.004575017746667784
263,29.997596936642,0.11686592787430244,wifi,0.22077671171772334,0.21545428911340203,0.005322422604321293
264,32.60718596515542,0.0694574810110942,wifi,0.21275574342426087,0.20726380921213042,0.005491934212130448
265,30.980917147163677,0.0831675507784601,wifi,0.2160956531525383,0.2083758537264151,0.0077197994261231865
266,29.969052880670475,0.07812642626120984,wifi,0.20732530741861033,0.2026257573260977,0.0046995500925126445
267,30.047950776099043,0.29723048558453086,wifi,0.25850596832821143,0.2532225589002496,0.005283409427961837
268,30.043050868663823,0.08311462810205121,wifi,0.20075971383572586,0.19651118118493766,0.004248532650788211
269,29.7419837327038,0.07613765848140146,wifi,0.20644464337803065,0.1998342138502038,0.006610429527826835
27,29.78486684059824,0.039509627701137764,wifi,0.20716122589354585,0.200147789783149,0.007013436110396846
270,31.354386397281193,0.15943692651671468,wifi,0.22639833375957702,0.22081357089730067,0.005584762862276385
271,30.07394247863818,0.289445090419491,wifi,0.25546327599039126,0.24776163161109077,0.007701644379300516
272,33.03027455953246,0.12901028092635744,wifi,0.21416709283216884,0.20867326611121584,0.005493826720953027
273,32.75281131470062,0.10703679651543355,wifi,0.21817839230760702,0.21157359833953188,0.006604793968075118
274,25.439728184563055,0.10116680419414648,wifi,0.21639678386951394,0.21168906807899815,0.00470771579051579
275,27.030019395881876,0.2409352692137617,wifi,0.24533840852505967,0.23902408657756563,0.006314321947494033
276,29.15216706668743,0.088272065473327,wifi,0.20513622684153787,0.20105225959396333,0.00408396724757456
277,27.253517528006586,0.3348394933102594,wifi,0.2617436384588136,0.2561073008878282,0.0056363375709854455
278,24.731516970607082,0.4281608367406211,wifi,0.276968807880597,0.27221958491542286,0.004749222965174129
279,29.778851405619278,0.09802738729705192,wifi,0.2092003584010261,0.204081724309534,0.00511863409149209
28,30.43573971962716,0.1534189424346017,wifi,0.23271118364235516,0.2247431068487712,0.007968076793583991
280,31.508154427940894,0.1506455102235639,wifi,0.22527131444588297,0.21842743394132252,0.00684388050456045
281,28.398371867269205,0.08515266337458995,wifi,0.21202940619535923,0.20581438374912892,0.006215022446230315
282,29.379131309058156,0.24086644787275227,wifi,0.23132965072654793,0.22667541971746055,0.004654231009087385
283,29.837842906055847,0.28643287073092694,wifi,0.2524761549037386,0.2470251074815596,0.005451047422178988
284,23.818089020926813,0.13080654779913853,wifi,0.20884217038063763,0.20434074558134083,0.004501424799296806
285,27.521156508606005,0.13294753797340794,wifi,0.2129728614014506,0.20820827294598485,0.004764588455465775
286,31.00038273269477,0.4540764906477775,wifi,0.2751162561807633,0.26831313213977226,0.006803124040991007
287,34.9778597881928,0.07143979120310567,wifi,0.20841047207849714,0.2030482775145188,0.005362194563978341
288,34.51018609448295,0.07010356285464264,wifi,0.20246903599111357,0.19682624980840144,0.005642786182712121
289,33.29813634196217,0.10745973778390583,wifi,0.21977482646315166,0.21481362774549134,0.004961198717660292
29,31.215093663861847,0.03024584869636413,wifi,0.20610222812473708,0.19909548170736485,0.007006746417372216
290,29.39861194891272,0.13489640282648344,wifi,0.2173060340128743,0.2113165979216339,0.005989436091240383
291,35.10984741272841,0.17364416109053737,wifi,0.23350845674043266,0.22808571282583237,0.005422743914600274
292,32.57772625212441,0.08861959787054616,wifi,0.20449186247137416,0.1989247824392112,0.00556708003216296
293,31.903776776568908,0.16692371681559673,wifi,0.2321560407752729,0.2270047455552543,0.005151295220018593
294,29.794642699159162,0.12284419843381078,wifi,0.22888977454373396,0.22321894810011564,0.0056708264436183395
295,30.05739403994702,0.15791571929661427,wifi,0.22695004839299537,0.22167616253827557,0.005273885854719794
296,34.40311453194935,0.07256776120317558,wifi,0.20523339849412578,0.200144391873654,0.005089006620471762
297,29.83701100107691,0.07851533787735795,wifi,0.20701479461840797,0.20164249454498334,0.00537230007342461
298,32.516262061138306,0.11984271109246873,wifi,0.2186877299293636,0.212309976943863,0.006377752985500628
299,32.128122810137235,0.1068281835288882,wifi,0.21317779080424534,0.20750426593356067,0.005673524870684701
3,32.18314948591369,0.04124829363207713,wifi,0.08177740668099372,0.0749649372580958,0.0068124694228979205
30,29.959350140787453,0.028958138141283354,wifi,0.20266749252566718,0.195435402262786,0.007232090262881177
300,29.570231414785987,0.10006905115123246,wifi,0.20329276287494683,0.1985025134913793,0.004790249383567548
301,34.69617541405881,0.1703992422635836,wifi,0.22904489406901601,0.22274845078037706,0.006296443288638985
302,34.27295737896425,0.36505399465991767,wifi,0.2567198358302395,0.25198320966732185,0.004736626162917667
303,29.869446085242444,0.08619212397353379,wifi,0.2071556580946034,0.20112166568554085,0.006033992409062565
304,29.917937362107125,0.08867492995557066,wifi,0.20522133633681727,0.2000871415289953,0.005134194807821982
305,30.082644485611873,0.07993519323575816,wifi,0.21022267212534954,0.20407079997532487,0.006151872150024674
306,34.509662321821104,0.19834247974289648,wifi,0.22957064388158652,0.22418605440149048,0.005384589480096026
307,25.513346949324895,0.25600835566471347,wifi,0.24419244380430513,0.23898928314840498,0.0052031606559001286
308,29.38357174703447,0.27193828132233244,wifi,0.24887799382975279,0.24313849885458608,0.0057394949751666735
309,31.021616497474437,0.10049466636446253,wifi,0.21146209252839676,0.2068045549738631,0.004657537554533663
31,30.09543867320982,0.0803947743135504,wifi,0.2236941779436493,0.21651700591395645,0.007177172029692819
310,34.30512422580714,0.06139225691582371,wifi,0.20280808279021176,0.19723698353778035,0.005571099252431412
311,31.30832277721464,0.2308093298839717,wifi,0.23388425999782617,0.2291265444596657,0.004757715538160469
312,29.79260136692903,0.09690882526306913,wifi,0.20217866882476132,0.19626543805222174,0.0059132307725395725
313,33.01423992483365,0.18427493753759813,wifi,0.2300450679149452,0.2246419049160444,0.005403162998900807
314,30.135369831296977,0.16792569755505152,wifi,0.22641975257447067,0.2212510822611452,0.005168670313325476
315,30.09156569511246,0.09327985882954269,wifi,0.20688907514576302,0.20181731027142552,0.005071764874337493
316,31.810883802350443,0.2878322732838836,wifi,0.25372278414804467,0.24853773352731223,0.005185050620732464
317,30.004319486338208,0.08576521794375995,wifi,0.20768138267428654,0.2023705785953177,0.005310804078968836
318,24.92336236173547,0.14607374988815489,wifi,0.2093176849461034,0.20398862225327888,0.0053290626928245086
319,29.794831511673703,0.20037324250888625,wifi,0.22573929161419887,0.2211413417776701,0.004597949836528759
