test_id,duration_s,soc0,temp_c,brightness_nits,cpu_load,gpu_load,gps_on,obs_total_w,pred_total_w,obs_screen_w,obs_cpu_w,obs_gpu_w,obs_radio_w,obs_gps_w,obs_background_w,obs_base_w,pred_screen_w,pred_cpu_w,pred_gpu_w,pred_radio_w,pred_gps_w,pred_background_w,pred_base_w
454.0,32.9343537740973,0.44,45.661,240.0,0.7498386496106785,0.8838788888888889,0.0,4.212984227707169,4.587961687496459,0.2834012072097633,2.6486872404552426,0.3884804843965259,0.2103880582867937,0.0005199392108415,0.4241434029350104,0.6287466789712104,0.2658841503434139,2.8202153208129057,0.4582243517894006,0.1397087560328686,0.0,0.4161275610682508,0.1532719352833055
670.0,29.33457188529568,0.67,45.75272727272727,375.0,0.5051177308120133,0.8817633333333333,0.0,4.1495637460118,3.1121122217612345,0.3096431536309783,2.599805542193667,0.3870185029773653,0.2075310344355456,0.0005240060639146,0.4162176031831353,0.5828816491811539,0.3414913898687223,1.485746545995539,0.4569633094781676,0.1200938877660788,0.0,0.4189250403290213,0.1532719352833055
993.0,29.341490873862675,0.56,44.6373,310.0,0.6850928630577184,0.9549288888888888,0.0,3.63647441974558,4.008621365256355,0.2366638611408912,2.1195188238419074,0.4389573643651491,0.2220920186014881,0.0005224790463237,0.3348549068405472,0.5618000763661093,0.2874570625520017,2.3683009157630512,0.5008332769870535,0.1457530167927601,0.0,0.4173850448377861,0.1532719352833055
774.0,34.486734652755835,0.8,45.1506,430.0,0.6208297122728957,0.9314577777777778,0.0,3.6343772543853823,3.773240769284365,0.8350325848019382,1.639117064362635,0.3840206105033449,0.2268192901107865,0.0005314956534182,0.3091237753300183,0.4876628953096489,0.4377221960975855,1.9830901563325447,0.4867031306491065,0.162475555371973,0.0,0.4143576825094491,0.1532719352833055
987.0,30.269260573083287,0.59,45.101125,185.0,0.4862680889877642,0.56511,0.0,3.546197923825466,2.7741737792227066,0.29319532661234,2.325434573769823,0.181533433621322,0.2075195396456848,0.0004742983128209,0.3692447363273289,0.4652283020506339,0.2457539933166944,1.436023053922071,0.2739551264468406,0.1110280100182195,0.0,0.4185215471951775,0.1532719352833055
809.0,31.41830625226267,0.97,44.716857142857144,460.0,0.5952396365714991,0.7969333333333334,0.0,3.3193140700412354,3.291962220141842,0.662406802175746,1.657941304232618,0.3100921183303368,0.2280611761475435,0.0005314955522551,0.2551622041741577,0.3925820808457419,0.4024761940653257,1.8493141649638791,0.4067820509165064,0.116868009136925,0.0,0.2276297527355001,0.1532719352833055
805.0,34.455364480503654,1.0,43.16742857142857,160.0,0.6426088646026449,0.9553077777777778,0.0,3.290161393130701,3.676081884391037,0.305896402222535,1.8376853594867355,0.395537011238871,0.2217681179323332,0.0005487637530187,0.3085645296831634,0.4611048491782007,0.2437037417009201,2.1060483684832656,0.5010618078065847,0.1220104971321104,0.0,0.4143654209444498,0.1532719352833055
449.0,29.940210838963868,0.47,43.494625,115.0,0.6427506441107403,0.93991,0.0,3.2554211967390754,3.616766689514216,0.3045854968897583,1.7844448146216476,0.3976710513513513,0.2015843756874628,0.000520732977932,0.3148063129101578,0.51505755616812,0.2082138261392324,2.106875136540721,0.4917854789192705,0.1098703804491005,0.0,0.4111298191421915,0.1532719352833055
445.0,32.87531616586984,0.49,44.1475,100.0,0.611216932394018,0.25848,0.0,3.2550872350574274,3.048378766667867,0.2132704713014376,2.2305199163231153,0.1012623533429679,0.2019561175857609,0.0004737024796531,0.3447367194340914,0.4415532995588347,0.1773466504222795,1.9314440760450036,0.1114339376422063,0.1244877600010051,0.0,0.4147742942336698,0.1532719352833055
368.0,33.94771235398182,0.87,45.22271428571428,395.0,0.6418575807069583,0.9383322222222222,0.0,3.2512744555246593,3.7569109414160864,0.3198775109615103,1.760841755363676,0.3954570727059856,0.212108901463486,0.0005502114956827,0.3174746259841943,0.5061645949875603,0.3560875244441491,2.1016729455688856,0.490836233741419,0.1069221169612347,0.0,0.412500072376696,0.1532719352833055
529.0,30.152294908615797,0.77,44.5969,230.0,0.5883306476949697,0.9376122222222222,0.0,3.245382658155099,3.3459416761235565,0.3637646675141762,1.714620300817282,0.4019104964596681,0.2044259642031913,0.0005470030967635,0.3145014134877607,0.5037590868618834,0.244940276801177,1.8152803106501576,0.4904031365949776,0.0893508194625173,0.0,0.4170750842910254,0.1532719352833055
795.0,30.40532482094582,0.7,45.2894,60.0,0.6482281127796317,0.9529077777777778,0.0,3.214998411484137,3.6054602759079137,0.2037262751635805,1.8636550037179132,0.4028848406486058,0.2147966555086829,0.0005389063080877,0.3176656650029661,0.4642149414310011,0.1509442686312811,2.1390713284318266,0.4996144524485345,0.1106980096225338,0.0,0.4162401684500304,0.1532719352833055
282.0,29.379131309058156,0.66,44.791714285714285,350.0,0.6079443513780743,0.8830333333333333,0.0,3.184001494664984,3.418281869119,0.4264507140354992,1.7029690348421551,0.3566806868808683,0.2313296507265479,0.0005099251442846,0.2856097303385305,0.3983764024118179,0.3366335821475399,1.914239736012695,0.4577202778758269,0.1945519809397067,0.0,0.2262442438195289,0.1532719352833055
339.0,30.6039847457436,0.38,45.248333333333335,285.0,0.6343655110616735,0.92808,0.0,3.154962231296654,3.630464730633025,0.1666596812591334,1.786341086993957,0.4089937731900944,0.2156195823768711,0.0005260850349539,0.3209184136577274,0.5188182918993641,0.2445310786313008,2.0585574303687157,0.4846739924535757,0.1383741613011095,0.0,0.415436019554621,0.1532719352833055
