sample_idx,scenario_id,scenario_title_zh,soc0,tte_h,status,soc_end,temp_peak_C
34,S1_video,视频播放/视频流,1.0,10.408847578263517,cutoff,0.0597471991079541,26.43810935135705
35,S1_video,视频播放/视频流,1.0,11.096693255700874,cutoff,0.0529416199122145,26.38843021607943
36,S1_video,视频播放/视频流,1.0,8.969073463536208,cutoff,0.0652577235134199,27.12030152921827
37,S1_video,视频播放/视频流,1.0,9.786111111111111,soc_min,0.099912241061317,26.517557768282
38,S1_video,视频播放/视频流,1.0,8.258333333333333,soc_min,0.0997529389674262,26.601428018971017
39,S1_video,视频播放/视频流,1.0,9.539676946113456,cutoff,0.0563261954883742,26.4011346051568
40,S1_video,视频播放/视频流,1.0,11.411490261264536,cutoff,0.0541384679050791,26.31416951203451
41,S1_video,视频播放/视频流,1.0,10.234386419679256,cutoff,0.0609864728184161,26.486128644578685
42,S1_video,视频播放/视频流,1.0,9.74154502055746,cutoff,0.0426910766360418,26.894302016094333
43,S1_video,视频播放/视频流,1.0,9.47796647699987,cutoff,0.0530844270282103,26.38594529302244
44,S1_video,视频播放/视频流,1.0,8.25,soc_min,0.0999660114841162,26.7770014070755
45,S1_video,视频播放/视频流,1.0,9.188888888888888,soc_min,0.0999072248836178,26.2481498926362
46,S1_video,视频播放/视频流,1.0,8.313888888888888,soc_min,0.0996955527755059,26.977292996876585
47,S1_video,视频播放/视频流,1.0,11.714135233297217,cutoff,0.0580720418377039,25.9454842096573
48,S1_video,视频播放/视频流,1.0,9.938888888888888,soc_min,0.0998400621801923,26.589664678630424
49,S1_video,视频播放/视频流,1.0,10.551519876845424,cutoff,0.0577554065017665,26.146945255340633
50,S1_video,视频播放/视频流,1.0,10.290455225952195,cutoff,0.0499114490611583,26.174917142859236
51,S1_video,视频播放/视频流,1.0,11.375466635080736,cutoff,0.0727350074133474,26.187997148992363
52,S1_video,视频播放/视频流,1.0,8.973436095157117,cutoff,0.0626737080784611,26.75029966260307
53,S1_video,视频播放/视频流,1.0,10.513049743801028,cutoff,0.0700717787707692,26.16720306108132
54,S1_video,视频播放/视频流,1.0,9.558283129309558,cutoff,0.0445414992643959,26.371121321134364
55,S1_video,视频播放/视频流,1.0,10.724384776135562,cutoff,0.0721485566664161,26.1205662539936
56,S1_video,视频播放/视频流,1.0,9.956350778677288,cutoff,0.0413663838666812,26.288767815385157
57,S1_video,视频播放/视频流,1.0,9.392576718237423,cutoff,0.062213075916544,26.799401042424904
58,S1_video,视频播放/视频流,1.0,8.161111111111111,soc_min,0.0998201106571914,26.643258011352717
59,S1_video,视频播放/视频流,1.0,8.552152531268453,cutoff,0.0526287154918959,26.824710342673377
60,S1_video,视频播放/视频流,1.0,11.03422061601417,cutoff,0.0561562737696612,26.295766537875945
61,S1_video,视频播放/视频流,1.0,9.465261528987062,cutoff,0.0720760238801843,26.25867311958176
62,S1_video,视频播放/视频流,1.0,11.209862448816894,cutoff,0.0546528393465306,26.324373481763057
63,S1_video,视频播放/视频流,1.0,8.647222222222222,soc_min,0.0997981841334197,26.809895352673355
64,S1_video,视频播放/视频流,1.0,9.864160250525384,cutoff,0.0537059540372853,26.47762874211582
65,S1_video,视频播放/视频流,1.0,9.186111111111112,soc_min,0.0997855744114229,26.878412278107064
66,S1_video,视频播放/视频流,1.0,10.933333333333334,soc_min,0.0998556748218357,26.291306493276725
67,S1_video,视频播放/视频流,1.0,10.200808326075258,cutoff,0.0643914425139618,26.392963583764622
68,S1_video,视频播放/视频流,1.0,11.127699114583171,cutoff,0.0617606741743879,26.24642108817754
69,S1_video,视频播放/视频流,1.0,9.79089081850809,cutoff,0.0706977268100465,26.583562020800432
70,S1_video,视频播放/视频流,1.0,8.925895289751129,cutoff,0.0511147388133643,26.66803604524072
71,S1_video,视频播放/视频流,1.0,8.241967076762329,cutoff,0.0444466963900157,27.060512233092787
72,S1_video,视频播放/视频流,1.0,10.897222222222222,soc_min,0.0997759566279486,26.040264232597675
73,S1_video,视频播放/视频流,1.0,10.464894789818164,cutoff,0.0690062702697001,26.111409667546912
74,S1_video,视频播放/视频流,1.0,7.891666666666667,soc_min,0.0999043255697114,27.105493258367588
