scenario_id,scenario_title_zh,soh,tte_mean_h,tte_p05_h,tte_p50_h,tte_p95_h,min_headroom_margin_mean,p_cutoff
S4_mixed_day,混合使用（标准一天）,0.876,14.872311910429739,14.810405249724209,14.876003617887665,14.934580582186301,0.9318231371005965,1.0
S4_mixed_day,混合使用（标准一天）,0.917,15.929950833715008,15.853704019192623,15.935489687386262,15.99040250969084,0.935654119417794,1.0
S4_mixed_day,混合使用（标准一天）,0.958,16.987048738073646,16.9103955723041,16.990579223062554,17.041661869232758,0.9394183635471072,1.0
S4_mixed_day,混合使用（标准一天）,1.0,18.06653766620597,17.998994141526023,18.069539954446583,18.126100386632594,0.9432230793661931,1.0
S5_burst_recovery,高负载→休止：恢复效应演示,0.624,6.078817599961096,6.073012752082937,6.079141196377852,6.083408329997477,0.8370786948299533,1.0
S5_burst_recovery,高负载→休止：恢复效应演示,0.797,8.006192953955283,8.001960709475805,8.006552412940732,8.009601613837672,0.8626205808646293,1.0
S5_burst_recovery,高负载→休止：恢复效应演示,0.833,8.139149620864389,8.132708250817881,8.139404350634738,8.14458607026786,0.8683027076059314,1.0
S5_burst_recovery,高负载→休止：恢复效应演示,0.876,8.72602497081164,8.720087277283978,8.726783345709745,8.731948973511454,0.8733772598489766,1.0
S5_burst_recovery,高负载→休止：恢复效应演示,0.917,9.333333333333334,9.333333333333334,9.333333333333334,9.333333333333334,0.8785107349662848,1.0
S5_burst_recovery,高负载→休止：恢复效应演示,0.958,9.46501965108617,9.457727833004535,9.465343354721599,9.47105127348808,0.887876751792021,1.0
S5_burst_recovery,高负载→休止：恢复效应演示,1.0,10.05045238589859,10.041826061932973,10.050742422369904,10.055759395813567,0.8936796971704382,1.0
