phone_test_id,radio_mode,duration_s_est,bytes_MB,throughput_MBps,P_radio_W,E_radio_J
131,wifi,35.350563079539526,1.489875,0.042145721884196,0.1942727053884073,6.7689829999999995
132,wifi,34.152147649081186,6.69304,0.1959771335253075,0.2188008226090988,7.50049
133,wifi,32.52683860008791,1.099024,0.03378822066024669,0.19855303514501027,6.492298
134,wifi,30.51058337837471,1.954035,0.06404449812601684,0.20885218257698862,6.337253
135,wifi,34.688034258941,0.86852,0.025038028777203913,0.19050494096989778,6.518647
136,wifi,29.838169151836738,1.333213,0.04468146129260521,0.19373063540587548,5.778103
137,wifi,29.631722392122892,3.039605,0.10257942349001045,0.20613888810405714,6.066301999999999
138,wifi,29.95824687170356,1.099851,0.03671279580244201,0.19222097735469484,5.755304
139,wifi,24.145065536381797,1.020294,0.042256832911164416,0.1896063691353848,4.565802
14,wifi,34.060441880832734,1.099389,0.0322775906386192,0.20300150980301376,6.7338759999999995
140,wifi,34.02068153400589,5.910803,0.1737414635298169,0.21988051588993712,7.313302999999999
141,wifi,34.15966223507209,5.601108,0.16396848310312864,0.21872755424750148,7.294949
142,wifi,32.9785636706222,1.411295,0.04279431372741084,0.1945553633226145,6.3847819999999995
143,wifi,32.87889978785965,4.203699,0.12785400445644451,0.20800405693073185,6.785277
144,wifi,33.90289432177953,2.496661,0.07364152972615445,0.20779657297634285,6.9498619999999995
145,wifi,34.2408728264545,1.100131,0.032129175140361454,0.19170005056109954,6.493817
146,wifi,34.496519104589105,2.108099,0.06111048461465081,0.19623780525876763,6.708282
147,wifi,31.268691868157937,1.333897,0.042659187842723816,0.19822865889717553,6.135485999999999
148,wifi,25.05940160739237,5.915316,0.23605176582728207,0.22120326807811563,5.5833569999999995
149,wifi,32.40817325987345,2.574541,0.07944110207494161,0.2006181040117176,6.463261
15,wifi,29.47424550378123,1.097801,0.03724611033246513,0.20329998392888404,6.033945999999999
150,wifi,32.99277223125659,3.273089,0.09920624362990484,0.11930759926980244,4.022111
151,wifi,29.92195115659335,0.867554,0.028993898006842815,0.19692152003802324,5.876253999999999
152,wifi,29.720354590402266,2.175761,0.07320777393088805,0.2121646200464129,6.252356
153,wifi,35.123737626760054,1.097982,0.03126039750289759,0.19925918309808896,6.858308
154,wifi,29.482856626369642,0.865595,0.0293592649779332,0.20539193560172117,6.145019
155,wifi,28.502539475447787,1.176468,0.04127590108289876,0.20303841252817348,5.733339
156,wifi,35.10982866892298,0.866955,0.02469265823468328,0.19884658176068015,6.827915
157,wifi,29.708948266023864,7.271493,0.24475767148970132,0.22485568515971135,6.842782
158,wifi,29.98312101754455,0.865121,0.028853600647303412,0.21138667338100436,6.324915
159,wifi,24.715661754269554,1.016742,0.04113755925731428,0.20060480052353932,4.98879
16,wifi,30.280545018009494,1.022595,0.03377069334094901,0.20575314168973904,6.184944
160,wifi,33.86546172493287,1.175262,0.034703852838206935,0.20384900831882657,6.815599
161,wifi,34.7776674580934,2.569158,0.07387378705302186,0.20665677545331823,7.0054229999999995
162,wifi,30.339855172581142,1.483463,0.04889486095308198,0.20926862800859306,6.34343
163,wifi,29.135694953981748,0.865069,0.029691037106419793,0.20499157716564265,6.189486
164,wifi,32.37998396270153,1.1534,0.03562077119397589,0.2045884184896282,6.638273
165,wifi,29.880083225849617,2.229935,0.07462947754010459,0.2035586381455501,6.138514
166,wifi,29.884678630347317,1.638061,0.05481273599297068,0.08307908544056472,2.507934
167,wifi,31.14274180313131,0.943627,0.03030006175965923,0.2058588126587194,6.49446
168,wifi,30.644202407260945,1.331274,0.04344293195519957,0.2131621863573489,6.4852099999999995
169,wifi,29.874197143112358,1.487107,0.04977897792118104,0.20351944957301452,6.119977
17,wifi,30.23701604374167,2.574369,0.08513965122338293,0.22329626426579585,6.652120999999999
170,wifi,33.28961302968601,2.733016,0.08209816069543474,0.22384172765308544,7.393268
171,wifi,25.986814456480865,1.253633,0.048241118668061904,0.21552634419726205,5.578415
172,wifi,31.085881320465155,0.866655,0.027879376848467995,0.20338318335902575,6.451880999999999
173,wifi,25.01452071132484,2.804306,0.11210712499202133,0.2376344979471465,5.867446
174,wifi,31.169877604962355,1.018326,0.03267019565831978,0.20787071330246898,6.505857
175,wifi,29.876185385455376,6.779117,0.22690704695186012,0.23709755410911046,7.061694999999999
176,wifi,33.86667640758215,3.194457,0.09432449058641071,0.21222997582681488,7.247902
177,wifi,30.22202477731723,1.09631,0.03627520022493072,0.20321241031018922,6.089264
178,wifi,34.28385844840172,1.175924,0.03429963992442106,0.20226035508107126,6.837981999999999
179,wifi,29.807576369513292,5.989639,0.20094350931953348,0.2324287187349443,6.8317369999999995
18,wifi,30.81924419288989,5.522245,0.17918171404326655,0.22078501474088552,6.779284
180,wifi,31.277517610381356,3.352706,0.10719220245558105,0.1425825422124136,4.444426
181,wifi,30.03546459693477,6.582803,0.21916767688926642,0.19649877063986676,5.873832999999999
182,wifi,29.513519323370435,1.077962,0.0365243462898852,0.20094603640561023,5.96762
183,wifi,25.049182590675752,1.563526,0.06241824436147482,0.21173290269938455,5.367846999999999
184,wifi,26.191497420409416,1.64268,0.06271806356210702,0.21354240406740033,5.5710679999999995
185,wifi,24.835188327420177,1.122996,0.04521793775810092,0.21088977441645293,5.241097
186,wifi,26.67779695342156,0.96482,0.036165654970856095,0.20377297002801478,5.35318
187,wifi,31.718105724504078,1.022445,0.03223537398105404,0.2030173542139424,6.513294
188,wifi,31.34473040634785,1.100683,0.035115408099892054,0.20311113291495425,6.338229999999999
189,wifi,29.83200162997352,1.176841,0.039448945283563415,0.19999879974828452,5.943683999999999
19,wifi,30.0295094774004,0.871474,0.02902058725454219,0.20828449884935535,6.260776
190,wifi,29.98339882227825,2.216111,0.07391126713604551,0.20714568785926668,6.2682519999999995
191,wifi,29.756721505361384,1.875789,0.06303748884641179,0.20304982968101182,6.116778999999999
192,wifi,29.896967846377102,1.957917,0.06548881512200774,0.20451055032025447,6.096146999999999
193,wifi,30.059733754343565,3.272343,0.10886134344177793,0.2176977542276319,6.596302
194,wifi,34.03656540594337,2.981216,0.08758862606858177,0.21455346143437076,7.259557999999999
195,wifi,34.2680773662922,0.944579,0.027564400240590543,0.19865160522277955,6.732653
196,wifi,31.930321142436064,0.867107,0.027156225461434418,0.2063599499769053,6.514685999999999
197,wifi,29.99212464864336,0.866765,0.028899753190349806,0.2059717001878122,6.148295999999999
198,wifi,30.017113802905616,1.259174,0.041948536700357704,0.20268116014830864,6.103882
199,wifi,32.16302667827871,1.177507,0.03661057809572471,0.2081320385907874,6.365425999999999
2,wifi,29.72634187882264,1.952385,0.06567861622391215,0.20801096623940724,6.236459
20,wifi,29.850095674356087,1.099583,0.036836833355433446,0.2062631489911263,6.18232
200,wifi,32.83439952861079,0.867093,0.026408066309982138,0.19733258860848107,6.520531
201,wifi,30.506565375738237,3.006069,0.09853842813752858,0.2217954599817032,6.7460249999999995
202,wifi,32.661592014077705,1.100109,0.03368203850950787,0.20354087307162147,6.62203
203,wifi,29.441263646192986,3.194887,0.10851731903882213,0.21067580978746786,6.25319
204,wifi,30.456013550707098,1.050835,0.03450336657653617,0.19910843884181245,5.899508
205,wifi,29.633331095160347,4.359515,0.14711525295622221,0.22244298890161154,6.64056
206,wifi,34.348067358280296,3.268392,0.09515504805285901,0.20831364806836078,7.065575
207,wifi,33.65613370219592,1.100027,0.03268429492625375,0.2008092021457258,6.648759999999999
208,wifi,33.47709563698249,1.02169,0.03051907522322004,0.1970506664920847,6.4712119999999995
209,wifi,31.399494235383425,1.022331,0.03255883653208519,0.20019768176437516,6.2214789999999995
21,wifi,32.13623568727196,6.067379,0.18880179555077997,0.23842517113279163,7.560975999999999
