phone_test_id,brightness_pct,brightness_nits,apl,obs_screen_w,obs_total_w
251,26.0,130.0,0.2679738562091503,0.17658643647429467,2.1763245411702705
252,1.0,5.0,0.6313725490196078,0.15264445457103837,1.6345939166411454
253,79.0,395.0,0.5163398692810457,0.40564685468630934,2.352203672356278
254,4.0,20.0,0.3320261437908497,0.15507113745684395,1.3774270744219144
255,14.0,70.0,0.6732026143790849,0.2101684553949663,3.796131555310014
256,82.0,410.0,0.3673202614379085,0.34203102768690447,2.7586747076415485
257,91.0,455.0,0.645751633986928,0.6025716148978908,2.157602990667894
258,54.0,270.0,0.26928104575163403,0.19347616304137114,2.1527882159398675
259,48.0,240.0,0.3163398692810458,0.2054825988879578,1.3655519475415032
26,4.0,20.0,0.6222222222222222,0.16204231103962705,1.4909106524102564
260,29.0,145.0,0.37254901960784315,0.26282322120086304,1.9859292980823735
262,41.0,205.0,0.21437908496732025,0.17514779574985329,1.666470331318635
263,65.0,325.0,0.330718954248366,0.27272515595585656,2.2828756631619003
264,84.0,420.0,0.3071895424836601,0.30033747445138675,2.0401195635553186
265,91.0,455.0,0.6248366013071895,0.8449384303677682,2.6178778250735277
266,23.0,115.0,0.6666666666666666,0.25261750400271576,2.269226367305824
267,22.0,110.0,0.4875816993464052,0.22244925527706796,1.864846106063632
268,40.0,200.0,0.6771241830065359,0.3355398450752214,1.4204193570936736
269,73.0,365.0,0.1830065359477124,0.1816108670403123,4.120525722204707
27,9.0,45.0,0.403921568627451,0.18082736083826176,2.4381964636153253
270,98.0,490.0,0.6470588235294118,0.7864749348125425,2.3468088026873497
271,73.0,365.0,0.530718954248366,0.44514547714669594,2.545626601978747
272,3.0,15.0,0.4196078431372549,0.1411735707794096,2.1236466222396695
273,70.0,350.0,0.42745098039215684,0.530490851637445,2.2830407527929633
274,72.0,360.0,0.39869281045751637,0.4791935901967934,1.7914877340417144
275,96.0,480.0,0.4915032679738562,0.534332383875895,1.983398206816229
276,69.0,345.0,0.6718954248366014,0.604396697826087,1.9062089920409628
277,27.0,135.0,0.27581699346405225,0.1765935016157888,1.8426920102475757
278,62.0,310.0,0.36209150326797385,0.4104927147363184,3.0215998917014932
279,90.0,450.0,0.5372549019607843,0.4971089052843096,2.40851623264643
28,55.0,275.0,0.49542483660130715,0.38290475132409574,1.8218011624091794
280,1.0,5.0,0.6718954248366014,0.15359336919325695,1.6985804142352476
281,22.0,110.0,0.33725490196078434,0.177428942303105,1.602119699419763
282,70.0,350.0,0.5124183006535947,0.4264507140354992,3.184001494664984
283,46.0,230.0,0.48366013071895425,0.3059252654957658,1.6844398624338655
284,63.0,315.0,0.2496732026143791,0.2181674127913857,1.0000304801561766
285,49.0,245.0,0.3607843137254902,0.22721406082045623,2.501779784525758
286,27.0,135.0,0.5986928104575163,0.2593593248318894,3.398546944031284
287,49.0,245.0,0.6274509803921569,0.40707678588020685,2.0975884014712256
288,24.0,120.0,0.5281045751633987,0.26006842889242215,2.2030201979164112
289,65.0,325.0,0.5372549019607843,0.351449380152773,2.3485388550544855
29,23.0,115.0,0.6026143790849673,0.24800396227798976,2.5898252899875644
290,53.0,265.0,0.5529411764705883,0.32478377729731145,1.7318274784018495
291,52.0,260.0,0.6444444444444445,0.5998214972939259,2.611070248250786
292,100.0,500.0,0.5372549019607843,0.5412977286479348,2.449411183040942
293,15.0,75.0,0.5568627450980392,0.22540752424396204,1.99719439006345
294,38.0,190.0,0.2169934640522876,0.16244968490100217,1.658839661178243
295,32.0,160.0,0.5555555555555555,0.2589158462176452,1.8966328526097493
296,72.0,360.0,0.7607843137254902,0.6529711148439519,3.1656809705080207
297,55.0,275.0,0.2928104575163399,0.20082014563123565,2.2356285285276205
298,6.0,30.0,0.3607843137254902,0.17165960981884987,1.8719573881386398
299,6.0,30.0,0.44313725490196076,0.19439733775240428,2.2614261165945053
3,92.0,460.0,0.4143790849673203,0.34598787294188904,2.5774247183702887
30,100.0,500.0,0.665359477124183,0.5747575833448217,3.2120397988536165
300,65.0,325.0,0.5529411764705883,0.35696100309753287,2.307823771912605
301,6.0,30.0,0.4588235294117647,0.17355897163595765,1.6604489489828917
302,32.0,160.0,0.44313725490196076,0.22268646581495233,2.329862670357429
303,49.0,245.0,0.5320261437908497,0.3454924614719102,1.8587384861961143
304,36.0,180.0,0.6535947712418301,0.32866507693020897,2.766970931119352
305,84.0,420.0,0.15032679738562094,0.20064364118276032,2.048282425086363
306,58.0,290.0,0.8392156862745098,0.6564177444236322,2.47877974586585
307,31.0,155.0,0.3660130718954248,0.21781859749846538,1.99328179485858
308,10.0,50.0,0.34771241830065364,0.15531753832005737,1.4736138742006424
309,28.0,140.0,0.5686274509803921,0.24901681974609904,3.5794184035844823
31,43.0,215.0,0.4392156862745098,0.4229387230693516,2.8894005481770084
310,80.0,400.0,0.7450980392156863,0.6094933396410619,2.08816063537559
311,81.0,405.0,0.3437908496732026,0.5671168395828778,2.533359597842255
312,12.0,60.0,0.48104575163398694,0.171887551722619,1.8841322484282985
313,91.0,455.0,0.4444444444444444,0.3694471528105219,2.152130297767502
314,93.0,465.0,0.3032679738562091,0.2506277275409436,2.8954944468403294
315,24.0,120.0,0.5882352941176471,0.31469584969258646,1.1106393179610554
316,46.0,230.0,0.3150326797385621,0.24215090675046552,1.7375005153398506
317,80.0,400.0,0.22091503267973858,0.1896303285675386,1.7232971747132384
318,90.0,450.0,0.5006535947712418,0.4580013150258387,1.5065746128077953
319,1.0,5.0,0.722875816993464,0.15057458389779885,2.749026721896671
32,94.0,470.0,0.649673202614379,0.6437429847157531,2.5904145199658934
320,21.0,105.0,0.3215686274509804,0.16980671957213497,2.147159601794633
321,65.0,325.0,0.6091503267973857,0.510140876160646,2.016669184234653
322,41.0,205.0,0.5908496732026144,0.3429444474774213,1.8145658680653942
323,77.0,385.0,0.26143790849673204,0.22020472266600347,1.5738686815618006
324,50.0,250.0,0.20130718954248367,0.20163848159835415,2.4513555102552007
325,70.0,350.0,0.665359477124183,0.4893533554195879,1.271421393281162
326,70.0,350.0,0.5124183006535947,0.4180426646757158,4.753309777438655
327,66.0,330.0,0.48366013071895425,0.3507486374765952,2.120849481081665
328,23.0,115.0,0.5555555555555555,0.24570023506420344,2.1969806034096337
329,11.0,55.0,0.396078431372549,0.19565873695158692,1.6444935725535512
33,31.0,155.0,0.3241830065359477,0.19708584851876898,2.165447766063955
330,31.0,155.0,0.6483660130718955,0.30629767729571905,2.067574456684624
331,3.0,15.0,0.5594771241830065,0.1676464974283958,1.8741257532325029
332,80.0,400.0,0.7712418300653594,0.6505374627814755,2.4086062378721826
333,44.0,220.0,0.6339869281045751,0.36090675098011693,1.4641895113076022
334,40.0,200.0,0.550326797385621,0.33411546265880443,2.7634924389094975
335,17.0,85.0,0.40261437908496733,0.17625352050742396,1.6955164748535223
336,63.0,315.0,0.44313725490196076,0.3570504801854646,1.1304113620689937
337,59.0,295.0,0.4235294117647059,0.29026542352110335,3.2881081860584915
338,3.0,15.0,0.5882352941176471,0.1695703288208961,1.6185471460923304
339,57.0,285.0,0.15947712418300652,0.16665968125913344,3.154962231296654
34,80.0,400.0,0.22875816993464054,0.1940261005635638,2.5923712569967847
340,54.0,270.0,0.6875816993464052,0.41675003927970405,2.954406991714576
341,91.0,455.0,0.7895424836601308,0.9051733368664197,2.654909708877751
342,14.0,70.0,0.3869281045751634,0.1756055801247133,1.5987096015409976
343,40.0,200.0,0.5986928104575163,0.2987485653951759,1.447238841236852
344,32.0,160.0,0.39869281045751637,0.21150342994611884,1.6160943866896784
345,25.0,125.0,0.44575163398692813,0.24062242432850242,2.0572826596204004
346,65.0,325.0,0.5764705882352941,0.37382016440837973,2.891647726766252
347,7.0,35.0,0.41830065359477125,0.16645681055633268,2.379005989028545
348,86.0,430.0,0.45359477124183006,0.35483097924316953,2.8461816626377163
349,27.0,135.0,0.6091503267973857,0.3178678226813733,1.8358809215861425
35,40.0,200.0,0.43137254901960786,0.25798584815074777,1.6553049863224918
350,12.0,60.0,0.6222222222222222,0.19771247476402737,4.628122946527388
351,84.0,420.0,0.734640522875817,0.7413770314788123,2.6565174805089975
