test_id,duration_s,soc0,temp_c,brightness_nits,cpu_load,gpu_load,gps_on,obs_total_w,obs_screen_w,obs_cpu_w,obs_gpu_w,obs_radio_w,obs_gps_w,obs_background_w,obs_base_w,obs_other_w,pred_base_w,pred_screen_w,pred_cpu_w,pred_gpu_w,pred_radio_w,pred_gps_w,pred_background_w,pred_interaction_w,pred_other_w,pred_total_w
339.0,30.6039847457436,0.38,45.248333333333335,285.0,0.6343655110616735,0.92808,0.0,3.154962231296654,0.16665968125913344,1.7863410869939573,0.4089937731900944,0.2156195823768711,0.0005260850349539871,0.32091841365772744,0.5188182918993641,0.0,0.3499999999999998,0.36333689282807863,1.8329074926251843,0.34541907447083103,0.19926306355718365,0.0,0.460619532152433,0.15,0.0,3.701546055633713
305.0,30.082644485611873,0.54,45.58963636363636,420.0,0.42470454554443204,0.7908244444444444,0.0,2.048282425086363,0.20064364118276032,0.9714379511350552,0.27676303911827604,0.21022267212534954,0.0004938156686955092,0.222020403997368,0.3390305867905905,0.0,0.34999999999999976,0.4661914621376616,1.2271224240699352,0.2943343759901183,0.19206358173353774,0.0,0.2541552197999011,0.15,0.0,2.933867063731153
996.0,29.183915861739482,0.54,44.0015,220.0,0.5007986623408726,0.42333,0.0,2.3112108505092053,0.4585947243952784,1.1915877598334974,0.12068766467033704,0.21077162500614544,0.0004440549393491786,0.17013886544917414,0.28137661787664486,0.0,0.3499999999999998,0.3138143224197611,1.4469853806601656,0.1575578148389546,0.20087136072390227,0.0,0.12085663624163531,0.14999999999999997,0.0,2.740085514884421
670.0,29.33457188529568,0.67,45.75272727272727,375.0,0.5051177308120133,0.8817633333333333,0.0,4.1495637460118004,0.30964315363097833,2.599805542193667,0.38701850297736534,0.2075310344355456,0.0005240060639146684,0.4162176031831353,0.5828816491811539,0.0,0.34999999999999976,0.4319066057011337,1.4594647049990077,0.32818062505636897,0.19373697346107127,0.0,0.4644880246305224,0.14999999999999997,0.0,3.377776933848108
727.0,32.634076781835375,0.35,46.039199999999994,115.0,0.43309663848720803,0.6950177777777777,0.0,2.901761236668702,0.27162483248748603,1.6841103634491144,0.2523199060093504,0.20560664185868613,0.0004814220684936714,0.31677054053745873,0.42528982111423586,0.0,0.34999999999999976,0.23381632406786404,1.251370164158892,0.25867640455647556,0.046398761257223864,0.0,0.4637892670599607,0.04054930188136714,0.0,2.644600222981782
324.0,29.85993981443341,0.45,43.75657142857143,250.0,0.481742445989371,0.8506422222222222,0.0,2.4513555102552007,0.20163848159835415,1.26762387115595,0.3178096801539708,0.21953734189372934,0.0005020606888168557,0.2569556479254457,0.3780098248693327,0.0,0.34999999999999976,0.33667089337744643,1.3919251967083326,0.31659776000539896,0.2000859237846611,0.0,0.2558606950009796,0.14999999999999997,0.0,3.0011404688768186
803.0,34.49971269216452,1.0,37.541599999999995,80.0,0.9430890425163762,0.9385588888888889,0.0,5.765260040706761,0.2080761465493847,4.24048031662346,0.43744858334576187,0.208522556355155,0.0005336871630979013,0.3377940824757643,0.6120783051244717,0.0,0.34999999999999976,0.20715032461723132,2.724919533137926,0.34931917801953644,0.19437081838413212,0.0,0.4644928743164158,0.36999999999999983,0.0,4.660252728475244
836.0,30.462011853921254,0.83,45.953300000000006,310.0,0.44844246465208254,0.6821477777777778,0.0,2.650615178905403,0.5819671554373232,1.1226671242969182,0.27760644214695984,0.21843473763624977,0.0005278193622499504,0.2547470959952466,0.3853291144418918,0.0,0.34999999999999976,0.3823840352928164,1.295709711734623,0.2538863611459509,0.038111527515307934,0.0,0.25410347158288266,0.021761375115081118,0.0,2.5959564823866605
225.0,33.57588389704452,0.62,45.15025,390.0,0.42558567296996663,0.6765488888888889,0.0,3.1429250626307073,0.5675854463206134,1.6749592123013648,0.23429987892769014,0.20554576686754833,0.0004769415090106932,0.3107982672549166,0.40604767483267895,0.0,0.34999999999999976,0.44333489117997626,1.2296683144628675,0.2518025289137455,0.18892810974296656,0.0,0.4611687305433231,0.15000000000000002,0.0,3.074902574842879
383.0,30.04603398105656,0.79,44.940400000000004,265.0,0.45825942775923867,0.6841566666666666,0.0,2.432968825306155,0.3683996685546246,1.164458608725427,0.22878009346600062,0.2766240509104093,0.0005205773283918788,0.21497691994843698,0.3434839817918144,0.0,0.34999999999999976,0.34809917885628916,1.3240744083017757,0.25463404296294373,0.23368653641227347,0.0,0.25166411314157217,0.14999999999999997,0.0,2.9121582796748546
