scenario_id,scenario_title_zh,variant,model,tte_h,min_headroom_margin,p_cutoff,temp_peak_C,temp_end_C
S3_gaming,游戏（高 CPU/GPU 负载）,cold_outdoor,model2,3.622920598561257,0.8626696780901464,1.0,25.0,3.9726654464017974
S3_gaming,游戏（高 CPU/GPU 负载）,cold_outdoor,model3,3.622920598561257,0.8626696780901464,1.0,25.0,3.9726654464017974
S3_gaming,游戏（高 CPU/GPU 负载）,hot_summer,model1,3.827204454628472,0.8939433540899353,1.0,25.0,25.0
S3_gaming,游戏（高 CPU/GPU 负载）,hot_summer,model2,3.8863067062859145,0.9290626504223652,1.0,48.841668792242466,48.78825803037372
S3_gaming,游戏（高 CPU/GPU 负载）,hot_summer,model3,3.8863067062859145,0.9290626504223652,1.0,48.841668792242466,48.78825803037372
S4_mixed_day,混合使用（标准一天）,baseline,model1,18.07777199111314,0.9389897559856231,1.0,25.0,25.0
S4_mixed_day,混合使用（标准一天）,baseline,model2,18.06666088767004,0.9433176039354347,1.0,29.74481121612564,24.351408296178132
S4_mixed_day,混合使用（标准一天）,baseline,model3,18.06666088767004,0.9433176039354347,1.0,29.74481121612564,24.351408296178132
S4_mixed_day,混合使用（标准一天）,cold_outdoor,model1,18.07777199111314,0.9389897559856231,1.0,25.0,25.0
S4_mixed_day,混合使用（标准一天）,cold_outdoor,model2,16.61313106546718,0.9170898528188349,1.0,25.0,-3.6502291976540477
S4_mixed_day,混合使用（标准一天）,cold_outdoor,model3,16.61313106546718,0.9170898528188349,1.0,25.0,-3.6502291976540477
S4_mixed_day,混合使用（标准一天）,hot_summer,model1,18.07777199111314,0.9389897559856231,1.0,25.0,25.0
S4_mixed_day,混合使用（标准一天）,hot_summer,model2,18.15604771749634,0.9587358467525714,1.0,46.70987155876137,41.34994872126
S4_mixed_day,混合使用（标准一天）,hot_summer,model3,18.15604771749634,0.9587358467525714,1.0,46.70987155876137,41.34994872126
S5_burst_recovery,高负载→休止：恢复效应演示,baseline,model1,10.045429075138557,0.890441214150659,1.0,25.0,25.0
S5_burst_recovery,高负载→休止：恢复效应演示,baseline,model2,10.04935329611934,0.8926384976676411,1.0,29.488367828388583,26.544956143221633
S5_burst_recovery,高负载→休止：恢复效应演示,baseline,model3,10.04935329611934,0.8926384976676411,1.0,29.488367828388583,26.544956143221633
S5_burst_recovery,高负载→休止：恢复效应演示,cold_outdoor,model1,10.045429075138557,0.890441214150659,1.0,25.0,25.0
S5_burst_recovery,高负载→休止：恢复效应演示,cold_outdoor,model2,9.384918197076328,0.8498329164553127,1.0,25.0,-1.3490548330354255
S5_burst_recovery,高负载→休止：恢复效应演示,cold_outdoor,model3,9.384918197076328,0.8498329164553127,1.0,25.0,-1.3490548330354257
S5_burst_recovery,高负载→休止：恢复效应演示,hot_summer,model1,10.045429075138557,0.890441214150659,1.0,25.0,25.0
S5_burst_recovery,高负载→休止：恢复效应演示,hot_summer,model2,10.085712546935445,0.9203027607318944,1.0,46.3734551310058,44.613226530487424
S5_burst_recovery,高负载→休止：恢复效应演示,hot_summer,model3,10.085712546935445,0.9203027607318942,1.0,46.3734551310058,44.61322653048742
