t_s,t_h,soc,v_term_V,p_W,p_max_W,v1_V,status,scenario_id,seed
2924.0,0.8122222222222222,0.7873057263077968,3.8369908907816415,4.092934876861699,48.077034276681495,0.021325624314935752,cutoff,S3_gaming,1
2926.0,0.8127777777777778,0.7871575714547184,3.836914695558687,4.092934876861699,48.075207946325335,0.02132604746276483,cutoff,S3_gaming,1
2928.0,0.8133333333333334,0.7870094136594525,3.8368384987360336,4.092934876861699,48.07338161396655,0.021326470636309932,cutoff,S3_gaming,1
2930.0,0.8138888888888889,0.7868612529218204,3.8367623003135813,4.092934876861699,48.071555279605036,0.021326893835571417,cutoff,S3_gaming,1
2932.0,0.8144444444444444,0.7866907537844278,3.8236504810230914,4.69404159768895,48.06561018878963,0.02148417837782951,cutoff,S3_gaming,1
2934.0,0.815,0.7865322682753955,3.8304272887632544,4.370968125196539,48.062068690012566,0.021549420655702346,cutoff,S3_gaming,1
2936.0,0.8155555555555556,0.7863740988072906,3.8304704747647547,4.362297799468604,48.05866358356334,0.021609261479469757,cutoff,S3_gaming,1
2938.0,0.8161111111111111,0.786216163271503,3.8304710325729188,4.355843897622352,48.055373259244476,0.021664540928039884,cutoff,S3_gaming,1
2940.0,0.8166666666666667,0.7860584005773807,3.830440389289957,4.351039827931306,48.05218098959022,0.021715910500577907,cutoff,S3_gaming,1
2942.0,0.8172222222222222,0.7859007652750689,3.8303870234869692,4.3474638383754955,48.04907371206379,0.021763880077319477,cutoff,S3_gaming,1
2944.0,0.8177777777777778,0.7857432235545281,3.830317221072075,4.344801990790916,48.046041121426626,0.021808852925205333,cutoff,S3_gaming,1
2946.0,0.8183333333333334,0.7855857502682102,3.8302356374600786,4.342820600058937,48.043074992894255,0.02185115180714886,cutoff,S3_gaming,1
2948.0,0.8188888888888889,0.7854283267153173,3.8301457157515926,4.341345718756374,48.040168677058894,0.021891038469359258,cutoff,S3_gaming,1
2950.0,0.8194444444444444,0.785270938992745,3.8300499978366433,4.340247866211925,48.03731672268445,0.021928728198443662,cutoff,S3_gaming,1
2952.0,0.82,0.7851135767677339,3.8299503558538035,4.339430661324142,48.03451459472029,0.021964400706911028,cutoff,S3_gaming,1
2954.0,0.8205555555555556,0.784956232364364,3.829848164397659,4.33882236120953,48.03175846323743,0.02199820828366328,cutoff,S3_gaming,1
2956.0,0.8211111111111111,0.7847989000836338,3.8297444286401086,4.338369562853856,48.02904504520544,0.02203028190653292,cutoff,S3_gaming,1
2958.0,0.8216666666666667,0.7846415756973936,3.829639879646374,4.338032514831052,48.02637148565223,0.022060735835730066,cutoff,S3_gaming,1
2960.0,0.8222222222222222,0.7844842560716812,3.8295350452785857,4.337781627502835,48.02373526818836,0.022089671074469654,cutoff,S3_gaming,1
2962.0,0.8227777777777778,0.7843269388863777,3.8294303029319594,4.337594875327475,48.02113414743744,0.022117177984377484,cutoff,S3_gaming,1
2964.0,0.8233333333333334,0.784178679659384,3.8346118825564575,4.093339659752194,48.020235451487636,0.022079729576670624,cutoff,S3_gaming,1
2966.0,0.8238888888888889,0.7840304227790645,3.834574723480747,4.093236183770605,48.01929245041649,0.02204409107075128,cutoff,S3_gaming,1
2968.0,0.8244444444444444,0.7838821671956244,3.834535232289423,4.093159159694513,48.018307114620185,0.022010181569249755,cutoff,S3_gaming,1
2970.0,0.825,0.7837339121128792,3.8344936333739703,4.0931018255363165,48.01728136455423,0.021977922339113394,cutoff,S3_gaming,1
2972.0,0.8255555555555556,0.783585656924137,3.834450111775258,4.093059147897546,48.0162170614965,0.02194723715634965,cutoff,S3_gaming,1
2974.0,0.8261111111111111,0.7834374011644363,3.834404822369371,4.093027380083937,48.01511600173796,0.02191805251908684,cutoff,S3_gaming,1
2976.0,0.8266666666666667,0.7832891444749618,3.834357896747543,4.0930037331810025,48.013979913273175,0.02189029776472815,cutoff,S3_gaming,1
2978.0,0.8272222222222222,0.7831408865765236,3.8343094483776468,4.092986131213637,48.012810454302645,0.021863905117725974,cutoff,S3_gaming,1
2980.0,0.8277777777777777,0.7829926272497877,3.8342595764845737,4.092973028895081,48.0116092130367,0.021838809687624926,cutoff,S3_gaming,1
2982.0,0.8283333333333334,0.7828443663205306,3.8342083689751676,4.092963275965309,48.01037770842401,0.021814949431906108,cutoff,S3_gaming,1
2984.0,0.8288888888888889,0.7826961036486372,3.8341559046501765,4.092956016209051,48.0091173915259,0.021792265094361992,cutoff,S3_gaming,1
2986.0,0.8294444444444444,0.7825478391198851,3.8341022548838013,4.0929506122881625,48.00782964733109,0.021770700126904467,cutoff,S3_gaming,1
2988.0,0.83,0.7823995726398045,3.8340474849053416,4.092946589789343,48.00651579685982,0.02175020060060855,cutoff,S3_gaming,1
2990.0,0.8305555555555556,0.7822513041290847,3.833991654783133,4.092943595575127,48.00517709944706,0.021730715110234933,cutoff,S3_gaming,1
2992.0,0.8311111111111111,0.7821030335201327,3.8339348201854264,4.092941366781738,48.00381475512418,0.021712194675317528,cutoff,S3_gaming,1
2994.0,0.8316666666666667,0.7819547607544902,3.8338770329738443,4.092939707742134,48.002429907040884,0.021694592640044405,cutoff,S3_gaming,1
2996.0,0.8322222222222222,0.7818064857808916,3.833818341670906,4.09293847280828,48.001023643885645,0.02167786457352541,cutoff,S3_gaming,1
2998.0,0.8327777777777777,0.7816582085537982,3.83375879183256,4.092937553564629,47.999597002275145,0.02166196817157012,cutoff,S3_gaming,1
3000.0,0.8333333333333334,0.7815099290322902,3.83369842634882,4.092936869310256,47.99815096909209,0.021646863160753288,cutoff,S3_gaming,1
3002.0,0.8338888888888889,0.7813616471792241,3.8336372856897447,4.092936359974078,47.99668648375751,0.02163251120528982,cutoff,S3_gaming,1
3004.0,0.8344444444444444,0.7812133629605886,3.8335754081096622,4.092935980841182,47.99520444042868,0.021618875817054243,cutoff,S3_gaming,1
3006.0,0.835,0.7810650763450111,3.833512829819291,4.092935698627277,47.99370569011671,0.02160592226894288,cutoff,S3_gaming,1
3008.0,0.8355555555555556,0.7809167873033737,3.83344958513298,4.092935488556639,47.992191042721515,0.021593617511677706,cutoff,S3_gaming,1
3010.0,0.8361111111111111,0.7807684958085142,3.8333857065965065,4.09293533218705,47.990661268982564,0.021581930094079296,cutoff,S3_gaming,1
3012.0,0.8366666666666667,0.7806202018349901,3.8333212250995246,4.092935215790733,47.98911710234626,0.021570830086785297,cutoff,S3_gaming,1
3014.0,0.8372222222222222,0.7804719053588902,3.8332561699757313,4.092935129149189,47.987559240750684,0.021560289009355003,cutoff,S3_gaming,1
3016.0,0.8377777777777777,0.7803236063576814,3.833190569093111,4.092935064656109,47.98598834833009,0.021550279760675927,cutoff,S3_gaming,1
3018.0,0.8383333333333334,0.7801753048100839,3.8331244489360228,4.092935016649606,47.98440505704111,0.021540776552571948,cutoff,S3_gaming,1
3020.0,0.8388888888888889,0.7800270006959672,3.8330578346804907,4.092934980915164,47.982809968213544,0.021531754846502126,cutoff,S3_gaming,1
3022.0,0.8394444444444444,0.7798786939962618,3.832990750263755,4.092934954315634,47.98120365402858,0.021523191293233372,cutoff,S3_gaming,1
3024.0,0.84,0.7797303846928838,3.8329232184488897,4.09293493451583,47.97958665892696,0.021515063675367353,cutoff,S3_gaming,1
3026.0,0.8405555555555555,0.7795820727686695,3.8328552608851267,4.092934919777515,47.97795950095045,0.021507350852601494,cutoff,S3_gaming,1
3028.0,0.8411111111111111,0.7794337582073171,3.8327868981643927,4.092934908806804,47.97632267301925,0.021500032709605158,cutoff,S3_gaming,1
3030.0,0.8416666666666667,0.7792854409933349,3.832718149874456,4.0929349006405715,47.974676644148225,0.021493090106394257,cutoff,S3_gaming,1
3032.0,0.8422222222222222,0.779137121111995,3.8326490346490245,4.0929348945619,47.97302186060473,0.021486504831090734,cutoff,S3_gaming,1
3034.0,0.8427777777777777,0.7789887985492907,3.8325795702150547,4.09293489003714,47.97135874701065,0.021480259554956836,cutoff,S3_gaming,1
3036.0,0.8433333333333334,0.7788404732918973,3.832509773437499,4.092934886669058,47.96968770739156,0.02147433778959804,cutoff,S3_gaming,1
3038.0,0.8438888888888889,0.7786921453271362,3.832439660361687,4.092934884161971,47.96800912617485,0.021468723846232603,cutoff,S3_gaming,1
3040.0,0.8444444444444444,0.7785438146429408,3.8323692462535095,4.092934882295778,47.96632336914004,0.02146340279692977,cutoff,S3_gaming,1
3042.0,0.845,0.7783954812278259,3.832298545637533,4.092934880906647,47.96463078432287,0.021458360437722937,cutoff,S3_gaming,1
3044.0,0.8455555555555555,0.7782471450708577,3.832227572333197,4.092934879872623,47.96293170287564,0.02145358325350806,cutoff,S3_gaming,1
3046.0,0.8461111111111111,0.7780988061616264,3.8321563394891824,4.0929348791029305,47.961226439886126,0.021449058384641777,cutoff,S3_gaming,1
3048.0,0.8466666666666667,0.7779504644902201,3.832084859616083,4.092934878529998,47.959515295156585,0.021444773595157392,cutoff,S3_gaming,1
3050.0,0.8472222222222222,0.7778021200472,3.8320131446174415,4.092934878103525,47.957798553945146,0.021440717242520915,cutoff,S3_gaming,1
3052.0,0.8477777777777777,0.777653772823577,3.831941205819272,4.092934877786073,47.95607648767127,0.021436878248852737,cutoff,S3_gaming,1
3054.0,0.8483333333333334,0.7775054228107898,3.831869053998117,4.092934877549772,47.954349354586924,0.021433246073544254,cutoff,S3_gaming,1
3056.0,0.8488888888888889,0.7773570700006843,3.8317966994077426,4.092934877373878,47.95261740041539,0.02142981068720194,cutoff,S3_gaming,1
3058.0,0.8494444444444444,0.7772087143854929,3.831724151804521,4.092934877242948,47.950880858958904,0.021426562546854676,cutoff,S3_gaming,1
3060.0,0.85,0.7770603559578162,3.8316514204715753,4.092934877145487,47.94913995267703,0.02142349257236315,cutoff,S3_gaming,1
3062.0,0.8505555555555555,0.776911994710605,3.8315785142417487,4.092934877072942,47.94739489323676,0.02142059212397319,cutoff,S3_gaming,1
3064.0,0.8511111111111112,0.776763630637143,3.8315054415194596,4.0929348770189415,47.94564588203619,0.021417852980957563,cutoff,S3_gaming,1
3066.0,0.8516666666666667,0.7766152637310312,3.8314322103014815,4.092934876978745,47.94389311070258,0.021415267321293473,cutoff,S3_gaming,1
3068.0,0.8522222222222222,0.7764668939861715,3.831358828196728,4.092934876948824,47.94213676156641,0.021412827702325644,cutoff,S3_gaming,1
3070.0,0.8527777777777777,0.7763185213967533,3.831285302445065,4.092934876926552,47.94037700811236,0.02141052704236715,cutoff,S3_gaming,1
