t_s,t_h,soc,ocv_V,v1_V,i_A,v_term_V,p_W,p_max_W,discriminant,scenario_id,status
6856.0,1.9044444444444444,0.27148214591674147,3.685741072958371,0.03232789275396904,1.6174730988722767,3.524015332295116,5.7,41.71071207903513,11.523427865291243,S3_gaming,cutoff
6858.0,1.905,0.27125749312271,3.685628746561355,0.032328971270839495,1.6175271361121235,3.5238976044020425,5.7,41.708122650430404,11.52259924813773,S3_gaming,cutoff
6860.0,1.9055555555555554,0.2710328328231182,3.6855164164115592,0.03233004989911604,1.617581178941807,3.5237798721975953,5.7,41.70553321397622,11.521770628472389,S3_gaming,cutoff
6862.0,1.906111111111111,0.2708081650171896,3.6854040825085947,0.032331128638818214,1.6176352273623211,3.5236621356812887,5.7,41.70294376967142,11.520942006294854,S3_gaming,cutoff
6864.0,1.9066666666666667,0.2705834897041476,3.6852917448520737,0.03233220748996557,1.6176892813746429,3.5235443948526344,5.7,41.70035431751496,11.520113381604787,S3_gaming,cutoff
6866.0,1.9072222222222222,0.2703588068832155,3.685179403441608,0.03233328645257765,1.617743340979752,3.523426649711147,5.7,41.69776485750574,11.519284754401836,S3_gaming,cutoff
6868.0,1.9077777777777778,0.27013411655361647,3.6850670582768084,0.03233436552667402,1.6177974061786338,3.5233089002563407,5.7,41.69517538964265,11.518456124685649,S3_gaming,cutoff
6870.0,1.9083333333333334,0.2699094187145735,3.684954709357287,0.03233544471227424,1.6178514769722734,3.5231911464877284,5.7,41.6925859139246,11.517627492455873,S3_gaming,cutoff
6872.0,1.9088888888888889,0.2696847133653095,3.6848423566826547,0.03233652400939786,1.6179055533616482,3.5230733884048226,5.7,41.6899964303505,11.51679885771216,S3_gaming,cutoff
6874.0,1.9094444444444445,0.26946000050504726,3.684730000252524,0.03233760341806447,1.6179596353477488,3.5229556260071364,5.7,41.68740693891927,11.515970220454166,S3_gaming,cutoff
6876.0,1.91,0.26923528013300935,3.684617640066505,0.03233868293829364,1.618013722931552,3.5228378592941847,5.7,41.684817439629796,11.515141580681535,S3_gaming,cutoff
6878.0,1.9105555555555556,0.2690105522484182,3.6845052761242094,0.03233976257010494,1.6180678161140465,3.522720088265478,5.7,41.68222793248099,11.514312938393918,S3_gaming,cutoff
6880.0,1.9111111111111112,0.2687858168504962,3.6843929084252482,0.03234084231351796,1.6181219148962145,3.522602312920531,5.7,41.67963841747174,11.513484293590958,S3_gaming,cutoff
6882.0,1.9116666666666666,0.2685610739384655,3.684280536969233,0.0323419221685523,1.618176019279041,3.522484533258855,5.7,41.67704889460098,11.512655646272313,S3_gaming,cutoff
