loss,s_on,s1_screen,s1_cpu,s1_gpu,s1_wifi,s1_p,s3_wifi_min,s4_cpu_min,s4_gpu_min,s4_p_min,s5_wifi_max,s5_infra_min,s5_p_min,s2_p_max,S1_standby_light_n,S2_browse_social_n,S3_video_streaming_n,S4_gaming_n,S5_nav_call_n,S1_standby_light_tte_med,S2_browse_social_tte_med,S3_video_streaming_tte_med,S4_gaming_tte_med,S5_nav_call_tte_med
0.1776180895569681,0.4330638434980861,0.30983216676540304,0.23421061526015585,0.2519279966572647,0.6915191705575717,0.1814793969483898,0.8200318074728684,0.9089114382634852,0.9334795426266477,0.9778666872733575,0.21899159458389372,0.6799010492556183,0.9054323970145369,0.3991772760895252,9,60,62,8,8,10.390770326820387,8.286369071216072,6.796253486647764,2.6362525487751483,4.025435018720155
0.177798101151273,0.4649138252154945,0.33184353402804767,0.23862947013811153,0.2688471692779512,0.6175948905054582,0.16734892458746287,0.7100042273434956,0.8733052048309153,0.7746739524840724,0.9826844711488477,0.4214005024237353,0.8215019281968559,0.8837629897534905,0.30995060373008,9,33,83,8,26,10.390770326820387,8.596207335038006,6.437707862832841,2.6362525487751483,4.049792166966487
0.17946067449511519,0.5005745913415687,0.3439283978651307,0.27202328900821043,0.2943564930162943,0.6458709063195249,0.05991346399475134,0.8309625433692674,0.8781547181589001,0.9498999734175302,0.9408910515386224,0.2973162894471308,0.7598563406339847,0.8957167152347151,0.3765219685493173,9,47,51,8,11,11.496527143868999,8.285189183076481,6.349397199808116,2.908027590517527,3.8707637415747866
0.17978966782050093,0.4404887126926118,0.3220698773298073,0.2230829859097216,0.2737519047555327,0.5653900750416174,0.1661099754384502,0.7884638459357274,0.9625448058885795,0.8854374172312808,0.9803533303214892,0.24744546409604612,0.776597092065582,0.8998528520925198,0.24869510438129055,8,24,65,8,12,10.577134980151607,8.91444424744995,6.740614218365147,2.6362525487751483,4.0833103682856144
0.1801914495013797,0.3856522252097239,0.3401551597770628,0.18230707418590641,0.3418184774600909,0.6137760619462824,0.1861235719862465,0.8516059050323336,0.9524942386176238,0.8405421405877693,0.976345447975743,0.19784208984837542,0.8486587990245941,0.9030316137636513,0.3154268652032703,9,55,55,11,8,11.496527143868999,8.486878471057523,6.740614218365147,2.855290552738184,4.049792166966487
0.18142977881289646,0.4108978927191792,0.2946812563934965,0.28992104190912366,0.2059764868243178,0.6409566297460206,0.22332730868718956,0.780663447433174,0.9654210028942076,0.9198776275554905,0.9864455794439748,0.36296957419432463,0.8168651561996156,0.8936037274550558,0.36366308392933067,9,51,76,8,20,10.390770326820387,8.346657028752986,6.830045727620034,2.6362525487751483,4.0833103682856144
0.18175144060755222,0.42856449993189016,0.34449136940420183,0.3344279621724325,0.20620251952909385,0.6425964644942401,0.07619887949983531,0.7014371847939166,0.8442618250434683,0.7817841251065202,0.9788969253375513,0.19502927592769312,0.6822538658284095,0.8890562513177379,0.5043816999885925,10,72,94,12,9,11.307635212172226,7.915173699446159,6.748704970296804,2.8191611952953908,4.05359558119721
0.18203840574753857,0.3867784875157654,0.24013302062348912,0.3460649687783399,0.2531925209855944,0.6698565721389382,0.2405886267709114,0.7428984221989774,0.8211619596028332,0.7711573273120993,0.9860444175558248,0.4186297721849199,0.7720918690613752,0.9204243422692099,0.3704278441468419,11,53,92,9,19,9.668286901502986,8.346657028752986,7.025893358532434,2.4894732596976987,3.7747084854505677
0.18404881880473511,0.4560472730166634,0.34287792894508673,0.20080353350433985,0.35158628719758533,0.5742060508448655,0.24421692319581442,0.7932514380675417,0.9004073622934564,0.7397845172804998,0.9772019047128971,0.18717758110252936,0.7597879532326388,0.8846340800634518,0.2683107935749846,11,30,62,12,9,11.118743280475451,8.727176997704444,6.631263445328813,2.8191611952953908,4.05359558119721
0.18731072887931893,0.40859276262286914,0.2680254776514559,0.34228907885605303,0.36854623397470576,0.5920832464241309,0.11130366557442666,0.715715471705019,0.8674216529695148,0.7600239666331297,0.9851554902425266,0.3032794136806742,0.6301103584987157,0.9288741416012811,0.5789215405986902,16,102,96,9,11,9.777099501740562,7.533881810648195,6.7640135305779525,2.4894732596976987,3.8707637415747866
