ablation_id,ablation_label_zh,scenario_id,scenario_title_zh,delta_tte_h,delta_tte_pct,tte_base_h,tte_variant_h,delta_margin,p_cutoff_delta
no_signal_penalty,去掉弱信号惩罚,S5_burst_recovery,高负载→休止：恢复效应演示,0.0,0.0,10.048429097591884,10.048429097591884,0.0,0.0
no_tail_gate,关闭连续尾态门控（回退固定 tail）,S0_standby,待机/轻后台,0.0,0.0,25.427982431791907,25.427982431791907,0.0,0.0
no_tail_gate,关闭连续尾态门控（回退固定 tail）,S1_video,视频播放/视频流,0.0,0.0,5.035816362493332,5.035816362493332,0.0,0.0
no_tail_gate,关闭连续尾态门控（回退固定 tail）,S2_navigation,导航（GPS + 地图数据）,0.0,0.0,5.905329300798938,5.905329300798938,0.0,0.0
no_tail_gate,关闭连续尾态门控（回退固定 tail）,S3_gaming,游戏（高 CPU/GPU 负载）,0.0,0.0,3.8438349854525526,3.8438349854525526,0.0,0.0
no_tail_gate,关闭连续尾态门控（回退固定 tail）,S4_mixed_day,混合使用（标准一天）,0.0,0.0,18.048992962213553,18.048992962213553,0.0,0.0
no_tail_gate,关闭连续尾态门控（回退固定 tail）,S5_burst_recovery,高负载→休止：恢复效应演示,0.0,0.0,10.048429097591884,10.048429097591884,0.0,0.0
no_thermal_throttle,去掉热节流（简化温度-功耗反馈）,S0_standby,待机/轻后台,0.0,0.0,25.427982431791907,25.427982431791907,0.0,0.0
no_thermal_throttle,去掉热节流（简化温度-功耗反馈）,S1_video,视频播放/视频流,0.0,0.0,5.035816362493332,5.035816362493332,0.0,0.0
no_thermal_throttle,去掉热节流（简化温度-功耗反馈）,S2_navigation,导航（GPS + 地图数据）,0.0,0.0,5.905329300798938,5.905329300798938,0.0,0.0
no_thermal_throttle,去掉热节流（简化温度-功耗反馈）,S3_gaming,游戏（高 CPU/GPU 负载）,0.0,0.0,3.8438349854525526,3.8438349854525526,0.0,0.0
no_thermal_throttle,去掉热节流（简化温度-功耗反馈）,S4_mixed_day,混合使用（标准一天）,0.0,0.0,18.048992962213553,18.048992962213553,0.0,0.0
no_thermal_throttle,去掉热节流（简化温度-功耗反馈）,S5_burst_recovery,高负载→休止：恢复效应演示,0.0,0.0,10.048429097591884,10.048429097591884,0.0,0.0
