t_s,t_h,step_index,i_A,v_meas_V,v_pred_V,soc,v1_V,v2_V,h,z,v_cut_V
20603.77783880741,5.723271621890947,8,-0.0,3.3553555011749268,3.2811182018389404,0.06840644545839739,0.006835585229172244,0.021328396337614287,0.0,0.06974116433313776,3.3
20604.77785468224,5.7235494040784,8,-0.0,3.355517625808716,3.281301713730214,0.06840644545839739,0.006800965508078379,0.02132692543259883,0.0,0.06962322732100638,3.3
20605.793464281476,5.723831517855966,8,-0.0,3.355679750442505,3.281482012381834,0.06840644545839739,0.0067670450139683215,0.021325477054853898,0.0,0.06950728349719465,3.3
20606.809133248214,5.724113648124504,8,-0.0,3.355679750442505,3.2816647022362506,0.06840644545839739,0.006732768736541461,0.021324006192540622,0.0,0.06938972932545318,3.3
20607.824662016617,5.7243957394490605,8,-0.0,3.356003761291504,3.281846980499149,0.06840644545839739,0.0066986640860946705,0.021322535345705343,0.0,0.06927236711296045,3.3
20608.824677420274,5.724673521505632,8,-0.0,3.356003761291504,3.282028812705855,0.06840644545839739,0.0066647368637178,0.02132106480333136,0.0,0.0691552195593961,3.3
20609.840294097095,5.724955637249193,8,-0.0,3.356165647506714,3.2822074572035462,0.06840644545839739,0.006631495839188053,0.02131961682428218,0.0,0.06904005516410655,3.3
20610.85585255426,5.725237736820628,8,-0.0,3.356327772140503,3.282388473584559,0.06840644545839739,0.006597905908770605,0.02131814635591416,0.0,0.06892329037832444,3.3
20611.8558564393,5.725515515677583,8,-0.0,3.356327772140503,3.2825690625338177,0.06840644545839739,0.006564488029373113,0.021316676073253146,0.0,0.06880672974856436,3.3
20612.855864604975,5.725793295723604,8,-0.0,3.356489658355713,3.2827464792655916,0.06840644545839739,0.006531747381856607,0.021315228408930582,0.0,0.0686921470126165,3.3
20613.871460394897,5.72607540566525,8,-0.0,3.356489658355713,3.28292349484498,0.06840644545839739,0.0064991698905306665,0.021313780836725946,0.0,0.06857775459992996,3.3
